,fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,year,home_wins
fgm_home,1.0,0.5437558013575634,0.097682384164648,-0.018773641306897296,-0.11370888870892971,-0.12701486400462922,0.05808410516737509,0.13694894054854903,0.14858759287632378,0.6756461039570155,0.13573253868655172,0.05595041246822327,-0.0844721099992273,0.032147951651442866,0.8395916659750257,0.4365746682215345,0.3805183822351921,0.375664301602753,0.02064305909755408,0.012945925738123714,0.12056289178977594,0.10739988733976333,0.08119236397732929,-0.22075463297419376,-0.12794812626648006,0.20279839496324992,-0.02415776138339263,-0.08818250438859064,0.05492604948767639,-0.11593186247904232,0.39745139724515466,-0.053783207632061625,0.3310369510885636
fga_home,0.5437558013575634,1.0,0.07152855296597457,0.13305359180071524,-0.1904184090339358,-0.20084655948357666,0.46393718348767465,0.16778240970974562,0.4431001059821176,0.28385114244802934,0.13730017303862466,0.015349631470271472,-0.2225650490337419,0.027735561203747438,0.40714420540524965,0.0010111544230223938,0.36292247051011456,0.3451780830675943,0.07452097511403465,0.07159959780697853,0.12179158512170381,0.11064068248038544,0.005333168267922456,0.37986726485311495,0.32636690812775326,0.23179107250329908,-0.10945776948780467,0.23450750658026084,0.11064856468282996,-0.16439893495899516,0.4040082329040723,0.03409177057289554,-0.04764618652791354
fg3m_home,0.097682384164648,0.07152855296597457,1.0,0.8889135993976077,-0.22785413501855448,-0.26023665767936294,-0.2881655501032586,0.19952984012741612,-0.019316720504194515,0.09831237640631177,-0.09672690936095803,-0.07757253134633456,-0.11251179258027029,-0.1691408030730142,0.2676099574754971,0.10285183750141619,0.0505628437069967,0.08757703371078789,0.5690245818470777,0.6336317383394436,-0.11320673055086074,-0.14179993806732574,-0.20891891607076318,0.20147764993265693,0.035424506115025116,0.02277037518272535,-0.06893517933412957,-0.07149453804508385,-0.14973909759201265,-0.26591596486076324,0.15904492341540669,0.7135737135506669,0.06333048713152148
fg3a_home,-0.018773641306897296,0.13305359180071524,0.8889135993976077,1.0,-0.23914123833738185,-0.2695630846243173,-0.2434603039054951,0.22002769900321234,0.02779596821404746,-0.03270970728658587,-0.10348269420065817,-0.09859472950522974,-0.13444343037138287,-0.1888316284698785,0.12779134364017716,-0.05083831349456537,0.04757220003054626,0.08124787053787119,0.6361670719595288,0.7071684452003281,-0.12857366439062523,-0.16029087894783703,-0.24930566795418008,0.3481475277502972,0.13243730418195315,0.03254781526977337,-0.07690268537360212,-0.05330227302861855,-0.14701524436050917,-0.27347307673006993,0.17061937310915992,0.8058753762474912,-0.07060395075888723
ftm_home,-0.11370888870892971,-0.1904184090339358,-0.22785413501855448,-0.23914123833738185,1.0,0.9277800819889587,0.09702881962541889,-0.0007271355795148537,0.058950189723135635,-0.0692033960410493,0.07419357901824782,0.05314370749297565,0.06980634374786224,0.24335776113741778,0.31051314331436825,0.14708479117268888,0.13359868030031236,0.13030420002913853,-0.13351912973323143,-0.15590042128276527,0.20803274569887703,0.22103015219568434,0.10607527128314757,-0.1690570840438356,-0.07357694909567034,0.06995017168110054,0.01858022403185383,-0.0033279474653850416,0.091497377447127,0.7493884783208395,0.17518821007368382,-0.22333497526405768,0.18729910762381652
fta_home,-0.12701486400462922,-0.20084655948357666,-0.26023665767936294,-0.2695630846243173,0.9277800819889587,1.0,0.14334250201161644,-0.011573993190980285,0.08005330155918491,-0.08172385309956032,0.08975731498038746,0.062124292532163505,0.08424286190803743,0.2655737798950948,0.2561944941188316,0.10964441069074139,0.11622412581144229,0.11706351010772718,-0.161559645297547,-0.18627349436197554,0.21943516458914183,0.23831727918837828,0.12028323969368805,-0.12940035063090094,-0.03152485641817598,0.05890593520428387,0.0275493709199485,0.004359439460115887,0.11206525486411861,0.8127420263713127,0.15747195973347888,-0.26295673482216203,0.15747612941263045
oreb_home,0.05808410516737509,0.46393718348767465,-0.2881655501032586,-0.2434603039054951,0.09702881962541889,0.14334250201161644,1.0,-0.09070684902988024,0.5481876617164898,-0.04010602307958265,0.08215921256803639,0.042346897063164135,0.06037476685292277,0.1058238802864152,0.012686482732229469,-0.012290144563638502,0.04616458147194926,-0.009094908207865226,-0.22602033977437538,-0.26410055729839976,0.09826557083038692,0.11113286208593016,0.09005186484644395,-0.11186779946904596,-0.038847729603422705,0.03196843045629668,0.05318981810957568,0.21339503034574153,0.08227029181362064,0.13944629018858484,0.021153214875533732,-0.33303323693723136,-0.016765607741990585
dreb_home,0.13694894054854903,0.16778240970974562,0.19952984012741612,0.22002769900321234,-0.0007271355795148537,-0.011573993190980285,-0.09070684902988024,1.0,0.7491432571843311,0.11359251877320307,-0.14861787916188052,0.1652857668123903,0.11294491566274305,-0.10050682488576465,0.18481130783240834,0.3658153498938475,-0.17667430112780647,0.42831212465666024,0.1567200615258064,0.30090478021749756,-0.15014817325411375,-0.10595481355556097,-0.08243942519487171,0.17560839710252046,0.09975395720177853,-0.148710273609824,0.07723076778283855,-0.008069121729533658,-0.2690814213365495,-0.06686866142552739,-0.1768738443628139,0.2679734624079817,0.3053525747452084
reb_home,0.14858759287632378,0.4431001059821176,-0.019316720504194515,0.02779596821404746,0.058950189723135635,0.08005330155918491,0.5481876617164898,0.7491432571843311,1.0,0.0649419341141125,-0.06930982078590354,0.16090843394787765,0.13057882621313027,-0.01623176531806675,0.15834845841866693,0.2917589908292035,-0.11632132644551542,0.34535348358344614,-0.015565162241458898,0.0797471663819908,-0.06186880870471905,-0.017589940125140695,-0.01500802313698773,0.0763236099706602,0.05763950505703222,-0.10129997936688478,0.09600908510865715,0.1311684014470272,-0.16914235339544584,0.03163867365339231,-0.13264499712082908,0.008599732838401061,0.23928664011093145
ast_home,0.6756461039570155,0.28385114244802934,0.09831237640631177,-0.03270970728658587,-0.0692033960410493,-0.08172385309956032,-0.04010602307958265,0.11359251877320307,0.0649419341141125,1.0,0.1381831871930941,0.08944135409631268,-0.009372754476535627,0.015700088303564213,0.5930530382607374,0.4068492366486557,0.20314391857370445,0.25201237811262184,-0.05599891364739287,-0.056264419887671835,0.0649745521436581,0.06208249954374132,0.08665680377049921,-0.21831340207615776,-0.12135526431360424,0.17657270190506347,0.02122053196806953,-0.09421912101186336,0.07121815043893841,-0.07056184320382977,0.1917843485399085,-0.12057822947426666,0.314472948200798
stl_home,0.13573253868655172,0.13730017303862466,-0.09672690936095803,-0.10348269420065817,0.07419357901824782,0.08975731498038746,0.08215921256803639,-0.14861787916188052,-0.06930982078590354,0.1381831871930941,1.0,0.030394703845741576,0.13164650221843924,0.04461286227072552,0.12915974874588004,0.2058596928808966,-0.05724046987305486,-0.10717372470062718,-0.10953062416263629,-0.1164781499961129,0.015097940448298135,0.029036994590970294,0.08440368455576988,0.012317098215168848,0.06664263951481778,0.002690814676770666,0.10847171874425739,0.03354093060578472,0.708240134398182,0.06321758885134732,-0.07334501606758084,-0.14239462194751995,0.1646702660310149
blk_home,0.05595041246822327,0.015349631470271472,-0.07757253134633456,-0.09859472950522974,0.05314370749297565,0.062124292532163505,0.042346897063164135,0.1652857668123903,0.16090843394787765,0.08944135409631268,0.030394703845741576,1.0,0.08596490170670104,0.00416759965029572,0.05300783102933686,0.1722215460753074,-0.08125790802660073,0.24194448371714689,-0.13342268396641768,-0.1190778183897576,-0.007171226118569547,0.0036334942652983416,0.25829111116101255,-0.05200110444125777,0.12271067257694815,-0.09366399477960259,0.06952238771306865,0.054838986805738094,0.019199938112287648,0.049993673972955996,-0.115698626322542,-0.09473682161853225,0.1592843501537468
tov_home,-0.0844721099992273,-0.2225650490337419,-0.11251179258027029,-0.13444343037138287,0.06980634374786224,0.08424286190803743,0.06037476685292277,0.11294491566274305,0.13057882621313027,-0.009372754476535627,0.13164650221843924,0.08596490170670104,1.0,0.17810736989390466,-0.06741066582912449,-0.07601226327467787,0.01893941257455866,0.1231549048381451,-0.12364287115386219,-0.10945990270881117,0.06541795706357473,0.08447314913696345,0.07595806625138149,-0.2781957540847591,-0.18384127508395193,0.029142210840210212,0.7107559019651822,-0.013587204977750013,0.21395610147171093,0.13716015491116457,0.010487836962643006,-0.14771556213379233,-0.06862630131104787
pf_home,0.032147951651442866,0.027735561203747438,-0.1691408030730142,-0.1888316284698785,0.24335776113741778,0.2655737798950948,0.1058238802864152,-0.10050682488576465,-0.01623176531806675,0.015700088303564213,0.04461286227072552,0.00416759965029572,0.17810736989390466,1.0,0.09719747915028254,-0.08682126749757059,-0.11870880416125827,-0.16249849300373767,-0.21639180975206226,-0.2271320507253446,0.7276049391080756,0.7935699969698576,0.11092725773637252,-0.06565283193313283,0.014116580636251918,-0.09363198630339101,0.04433495275908445,0.017489054514639838,0.13523643752934894,0.34097780994071886,0.17451188360261785,-0.25732407814936775,-0.11150571141558865
pts_home,0.8395916659750257,0.40714420540524965,0.2676099574754971,0.12779134364017716,0.31051314331436825,0.2561944941188316,0.012686482732229469,0.18481130783240834,0.15834845841866693,0.5930530382607374,0.12915974874588004,0.05300783102933686,-0.06741066582912449,0.09719747915028254,1.0,0.4920654390887175,0.42631954031652913,0.4339935384596805,0.12009872164476963,0.12252870899073184,0.17327244237883893,0.15998759238866977,0.06476588383566385,-0.21334517964831215,-0.13193722126694787,0.22757677909371338,-0.028964924242798958,-0.09940728989131448,0.05064481354965366,0.18245272558975156,0.4938558422368111,0.05355759549494292,0.40711192781229133
plus_minus_home,0.4365746682215345,0.0010111544230223938,0.10285183750141619,-0.05083831349456537,0.14708479117268888,0.10964441069074139,-0.012290144563638502,0.3658153498938475,0.2917589908292035,0.4068492366486557,0.2058596928808966,0.1722215460753074,-0.07601226327467787,-0.08682126749757059,0.4920654390887175,1.0,-0.3773360352769627,0.04224984917670926,-0.20194485410070223,-0.06692293549062768,-0.1407626475426975,-0.09543340433341585,0.06374524950717242,-0.3970985391100186,-0.2895770680110095,-0.3177259395432849,-0.11854838890708726,-0.15330972952207678,0.16623393972090172,0.0834581229987238,-0.46138063482983066,-0.058206917395666254,0.8468978696228282
fgm_away,0.3805183822351921,0.36292247051011456,0.0505628437069967,0.04757220003054626,0.13359868030031236,0.11622412581144229,0.04616458147194926,-0.17667430112780647,-0.11632132644551542,0.20314391857370445,-0.05724046987305486,-0.08125790802660073,0.01893941257455866,-0.11870880416125827,0.42631954031652913,-0.3773360352769627,1.0,0.5453823036776456,0.12982811304763253,0.021237070541774736,-0.11301501480997811,-0.13007715495328195,0.06257874683191456,0.11077893685456554,0.1389508146125013,0.636773015718815,0.09788283950319833,0.049614766036649924,-0.11752676591833264,0.05266590941364197,0.8387767080994479,-0.015264233279699793,-0.2950413543452002
fga_away,0.375664301602753,0.3451780830675943,0.08757703371078789,0.08124787053787119,0.13030420002913853,0.11706351010772718,-0.009094908207865226,0.42831212465666024,0.34535348358344614,0.25201237811262184,-0.10717372470062718,0.24194448371714689,0.1231549048381451,-0.16249849300373767,0.4339935384596805,0.04224984917670926,0.5453823036776456,1.0,0.08258431245392966,0.14814288564881328,-0.18299331450301956,-0.19620930840284384,0.46391135258927696,0.14107898574830077,0.42756671856701617,0.28126654711163696,0.14551160510086775,0.032580869347553984,-0.22539304895411114,0.033371453827933016,0.4081189166905091,0.05352370725136043,0.06978423405730744
fg3m_away,0.02064305909755408,0.07452097511403465,0.5690245818470777,0.6361670719595288,-0.13351912973323143,-0.161559645297547,-0.22602033977437538,0.1567200615258064,-0.015565162241458898,-0.05599891364739287,-0.10953062416263629,-0.13342268396641768,-0.12364287115386219,-0.21639180975206226,0.12009872164476963,-0.20194485410070223,0.12982811304763253,0.08258431245392966,1.0,0.8875882448713048,-0.1817144410750924,-0.21507527228716217,-0.2735819368624615,0.23887275680421244,0.02631754948401007,0.17391323235511968,-0.07375345701800956,-0.025914231940241422,-0.15646288702495,-0.18467981909671405,0.3237897580940177,0.706834657278782,-0.15339898369467606
fg3a_away,0.012945925738123714,0.07159959780697853,0.6336317383394436,0.7071684452003281,-0.15590042128276527,-0.18627349436197554,-0.26410055729839976,0.30090478021749756,0.0797471663819908,-0.056264419887671835,-0.1164781499961129,-0.1190778183897576,-0.10945990270881117,-0.2271320507253446,0.12252870899073184,-0.06692293549062768,0.021237070541774736,0.14814288564881328,0.8875882448713048,1.0,-0.1956504900259505,-0.22910972974746008,-0.23307861006912645,0.2704616088141735,0.07977167446020873,0.062052686297198935,-0.07162500873746447,-0.03274711731070444,-0.1766091959622245,-0.21252466659622193,0.19014620972820148,0.8007090514404352,-0.03503332872207997
ftm_away,0.12056289178977594,0.12179158512170381,-0.11320673055086074,-0.12857366439062523,0.20803274569887703,0.21943516458914183,0.09826557083038692,-0.15014817325411375,-0.06186880870471905,0.0649745521436581,0.015097940448298135,-0.007171226118569547,0.06541795706357473,0.7276049391080756,0.17327244237883893,-0.1407626475426975,-0.11301501480997811,-0.18299331450301956,-0.1817144410750924,-0.1956504900259505,1.0,0.9214532544894857,0.07806348414567828,-0.006482090132192841,0.04199632611022034,-0.09826347783481368,0.06178629526297494,0.019870904905111328,0.0585459322394806,0.23899804485965415,0.3085119857186834,-0.1881239921465987,-0.1572524296268311
fta_away,0.10739988733976333,0.11064068248038544,-0.14179993806732574,-0.16029087894783703,0.22103015219568434,0.23831727918837828,0.11113286208593016,-0.10595481355556097,-0.017589940125140695,0.06208249954374132,0.029036994590970294,0.0036334942652983416,0.08447314913696345,0.7935699969698576,0.15998759238866977,-0.09543340433341585,-0.13007715495328195,-0.19620930840284384,-0.21507527228716217,-0.22910972974746008,0.9214532544894857,1.0,0.12176096580531112,-0.015580142166270428,0.06304677423011146,-0.11295507876138204,0.0729175278134169,0.029505379362666045,0.07603340358357412,0.262147798182375,0.24960205481141381,-0.2277977086076803,-0.12319869135880648
oreb_away,0.08119236397732929,0.005333168267922456,-0.20891891607076318,-0.24930566795418008,0.10607527128314757,0.12028323969368805,0.09005186484644395,-0.08243942519487171,-0.01500802313698773,0.08665680377049921,0.08440368455576988,0.25829111116101255,0.07595806625138149,0.11092725773637252,0.06476588383566385,0.06374524950717242,0.06257874683191456,0.46391135258927696,-0.2735819368624615,-0.23307861006912645,0.07806348414567828,0.12176096580531112,1.0,-0.11574290634881686,0.5265103190105831,-0.06427487249828999,0.0743663272434928,0.016075666736722612,0.08669407623966134,0.10885109338058536,0.005746747648305688,-0.30612027469909336,0.0704979585138189
dreb_away,-0.22075463297419376,0.37986726485311495,0.20147764993265693,0.3481475277502972,-0.1690570840438356,-0.12940035063090094,-0.11186779946904596,0.17560839710252046,0.0763236099706602,-0.21831340207615776,0.012317098215168848,-0.05200110444125777,-0.2781957540847591,-0.06565283193313283,-0.21334517964831215,-0.3970985391100186,0.11077893685456554,0.14107898574830077,0.23887275680421244,0.2704616088141735,-0.006482090132192841,-0.015580142166270428,-0.11574290634881686,1.0,0.7495233539436986,0.10129304347042162,-0.16482307683768305,0.18598977592156588,0.055169345886213306,-0.11734566159548887,0.16996159000834574,0.32376026242832645,-0.342126721875278
reb_away,-0.12794812626648006,0.32636690812775326,0.035424506115025116,0.13243730418195315,-0.07357694909567034,-0.03152485641817598,-0.038847729603422705,0.09975395720177853,0.05763950505703222,-0.12135526431360424,0.06664263951481778,0.12271067257694815,-0.18384127508395193,0.014116580636251918,-0.13193722126694787,-0.2895770680110095,0.1389508146125013,0.42756671856701617,0.02631754948401007,0.07977167446020873,0.04199632611022034,0.06304677423011146,0.5265103190105831,0.7495233539436986,1.0,0.046996456479855175,-0.08874227654484826,0.16792136551515727,0.1030030830756121,-0.02887267568351668,0.15087366864280208,0.07507825471931256,-0.240048605756325
ast_away,0.20279839496324992,0.23179107250329908,0.02277037518272535,0.03254781526977337,0.06995017168110054,0.05890593520428387,0.03196843045629668,-0.148710273609824,-0.10129997936688478,0.17657270190506347,0.002690814676770666,-0.09366399477960259,0.029142210840210212,-0.09363198630339101,0.22757677909371338,-0.3177259395432849,0.636773015718815,0.28126654711163696,0.17391323235511968,0.062052686297198935,-0.09826347783481368,-0.11295507876138204,-0.06427487249828999,0.10129304347042162,0.046996456479855175,1.0,0.08666084620935795,0.05318987928163819,-0.0440924635863521,0.013985442751210867,0.560762220518857,-0.019652128333958744,-0.2606846726492553
stl_away,-0.02415776138339263,-0.10945776948780467,-0.06893517933412957,-0.07690268537360212,0.01858022403185383,0.0275493709199485,0.05318981810957568,0.07723076778283855,0.09600908510865715,0.02122053196806953,0.10847171874425739,0.06952238771306865,0.7107559019651822,0.04433495275908445,-0.028964924242798958,-0.11854838890708726,0.09788283950319833,0.14551160510086775,-0.07375345701800956,-0.07162500873746447,0.06178629526297494,0.0729175278134169,0.0743663272434928,-0.16482307683768305,-0.08874227654484826,0.08666084620935795,1.0,-0.006638100197152438,0.12102623182396166,0.048008726521529946,0.09248608441382225,-0.1047894334527229,-0.107741951054684
blk_away,-0.08818250438859064,0.23450750658026084,-0.07149453804508385,-0.05330227302861855,-0.0033279474653850416,0.004359439460115887,0.21339503034574153,-0.008069121729533658,0.1311684014470272,-0.09421912101186336,0.03354093060578472,0.054838986805738094,-0.013587204977750013,0.017489054514639838,-0.09940728989131448,-0.15330972952207678,0.049614766036649924,0.032580869347553984,-0.025914231940241422,-0.03274711731070444,0.019870904905111328,0.029505379362666045,0.016075666736722612,0.18598977592156588,0.16792136551515727,0.05318987928163819,-0.006638100197152438,1.0,0.05361325363770771,0.005413564585331933,0.04548629197129843,-0.02379401777684042,-0.13789761446718687
tov_away,0.05492604948767639,0.11064856468282996,-0.14973909759201265,-0.14701524436050917,0.091497377447127,0.11206525486411861,0.08227029181362064,-0.2690814213365495,-0.16914235339544584,0.07121815043893841,0.708240134398182,0.019199938112287648,0.21395610147171093,0.13523643752934894,0.05064481354965366,0.16623393972090172,-0.11752676591833264,-0.22539304895411114,-0.15646288702495,-0.1766091959622245,0.0585459322394806,0.07603340358357412,0.08669407623966134,0.055169345886213306,0.1030030830756121,-0.0440924635863521,0.12102623182396166,0.05361325363770771,1.0,0.20239260702652886,-0.11831945096323543,-0.1887522308920564,0.1346048177633012
pf_away,-0.11593186247904232,-0.16439893495899516,-0.26591596486076324,-0.27347307673006993,0.7493884783208395,0.8127420263713127,0.13944629018858484,-0.06686866142552739,0.03163867365339231,-0.07056184320382977,0.06321758885134732,0.049993673972955996,0.13716015491116457,0.34097780994071886,0.18245272558975156,0.0834581229987238,0.05266590941364197,0.033371453827933016,-0.18467981909671405,-0.21252466659622193,0.23899804485965415,0.262147798182375,0.10885109338058536,-0.11734566159548887,-0.02887267568351668,0.013985442751210867,0.048008726521529946,0.005413564585331933,0.20239260702652886,1.0,0.10443744175255242,-0.29455835966651117,0.13806345812678766
pts_away,0.39745139724515466,0.4040082329040723,0.15904492341540669,0.17061937310915992,0.17518821007368382,0.15747195973347888,0.021153214875533732,-0.1768738443628139,-0.13264499712082908,0.1917843485399085,-0.07334501606758084,-0.115698626322542,0.010487836962643006,0.17451188360261785,0.4938558422368111,-0.46138063482983066,0.8387767080994479,0.4081189166905091,0.3237897580940177,0.19014620972820148,0.3085119857186834,0.24960205481141381,0.005746747648305688,0.16996159000834574,0.15087366864280208,0.560762220518857,0.09248608441382225,0.04548629197129843,-0.11831945096323543,0.10443744175255242,1.0,0.10786529729461924,-0.3850313156707343
year,-0.053783207632061625,0.03409177057289554,0.7135737135506669,0.8058753762474912,-0.22333497526405768,-0.26295673482216203,-0.33303323693723136,0.2679734624079817,0.008599732838401061,-0.12057822947426666,-0.14239462194751995,-0.09473682161853225,-0.14771556213379233,-0.25732407814936775,0.05355759549494292,-0.058206917395666254,-0.015264233279699793,0.05352370725136043,0.706834657278782,0.8007090514404352,-0.1881239921465987,-0.2277977086076803,-0.30612027469909336,0.32376026242832645,0.07507825471931256,-0.019652128333958744,-0.1047894334527229,-0.02379401777684042,-0.1887522308920564,-0.29455835966651117,0.10786529729461924,1.0,-0.05161263367564325
home_wins,0.3310369510885636,-0.04764618652791354,0.06333048713152148,-0.07060395075888723,0.18729910762381652,0.15747612941263045,-0.016765607741990585,0.3053525747452084,0.23928664011093145,0.314472948200798,0.1646702660310149,0.1592843501537468,-0.06862630131104787,-0.11150571141558865,0.40711192781229133,0.8468978696228282,-0.2950413543452002,0.06978423405730744,-0.15339898369467606,-0.03503332872207997,-0.1572524296268311,-0.12319869135880648,0.0704979585138189,-0.342126721875278,-0.240048605756325,-0.2606846726492553,-0.107741951054684,-0.13789761446718687,0.1346048177633012,0.13806345812678766,-0.3850313156707343,-0.05161263367564325,1.0
